timestamp,ram_global_prct,cpu_global_prct,disk_io_read_mega_byte,disk_io_write_mega_byte,consumers_causality_1,messages_causality_1,publish_rate_causality_1,timestamp_formatted
2021-12-07 13:43:03,76.0,2.6,326608.52,83692.31,0,0,0.0,21-12-07 13:43:03
2021-12-07 13:43:04,76.5,5.0,326608.52,83692.32,41,0,0.0,21-12-07 13:43:04
2021-12-07 13:43:06,76.4,2.9,326608.52,83692.32,41,0,1.2,21-12-07 13:43:06
2021-12-07 13:43:07,76.6,4.6,326608.52,83692.32,6,0,1.2,21-12-07 13:43:07
2021-12-07 13:43:08,76.6,4.1,326608.52,83692.45,6,0,1.2,21-12-07 13:43:08
2021-12-07 13:43:09,76.6,5.2,326608.52,83692.47,6,49,1.2,21-12-07 13:43:09
2021-12-07 13:43:10,76.9,5.5,326608.52,83692.64,27,49,5.6,21-12-07 13:43:10
2021-12-07 13:43:11,76.8,3.3,326608.52,83692.65,27,49,5.6,21-12-07 13:43:11
2021-12-07 13:43:12,76.8,8.5,326608.52,83692.65,27,49,5.6,21-12-07 13:43:12
2021-12-07 13:43:13,77.2,14.4,326608.52,83692.65,18,49,5.6,21-12-07 13:43:13
2021-12-07 13:43:14,77.1,9.8,326608.52,83692.93,18,162,5.6,21-12-07 13:43:14
2021-12-07 13:43:15,76.9,4.4,326608.52,83693.06,18,162,16.4,21-12-07 13:43:15
2021-12-07 13:43:16,77.1,4.4,326608.54,83693.06,20,162,16.4,21-12-07 13:43:16
2021-12-07 13:43:17,77.1,1.8,326608.54,83693.07,20,162,16.4,21-12-07 13:43:17
2021-12-07 13:43:18,77.1,2.6,326608.54,83693.07,20,162,16.4,21-12-07 13:43:18
2021-12-07 13:43:19,77.3,5.4,326608.54,83693.07,38,340,16.4,21-12-07 13:43:19
2021-12-07 13:43:20,77.3,2.6,326608.54,83693.07,38,340,33.4,21-12-07 13:43:20
2021-12-07 13:43:21,77.3,3.2,326608.54,83693.14,38,340,33.4,21-12-07 13:43:21
2021-12-07 13:43:22,77.5,4.7,326608.54,83693.14,16,340,33.4,21-12-07 13:43:22
2021-12-07 13:43:23,77.5,3.6,326608.54,83693.15,16,340,33.4,21-12-07 13:43:23
2021-12-07 13:43:24,77.6,4.4,326608.54,83693.41,16,589,33.4,21-12-07 13:43:24
2021-12-07 13:43:25,77.7,6.4,326608.54,83693.5,15,589,44.0,21-12-07 13:43:25
2021-12-07 13:43:26,77.7,9.6,326608.54,83693.81,15,589,44.0,21-12-07 13:43:26
2021-12-07 13:43:27,78.0,13.3,326608.91,83693.81,15,589,44.0,21-12-07 13:43:27
2021-12-07 13:43:28,78.3,77.3,326609.73,83693.81,24,589,44.0,21-12-07 13:43:28
2021-12-07 13:43:29,78.2,64.7,326612.82,83693.95,24,902,59.8,21-12-07 13:43:29
2021-12-07 13:43:31,78.1,34.3,326612.82,83693.95,0,902,59.8,21-12-07 13:43:31
2021-12-07 13:43:32,78.3,7.0,326612.82,83693.95,35,902,59.8,21-12-07 13:43:32
2021-12-07 13:43:33,78.2,3.2,326612.82,83693.95,35,902,59.8,21-12-07 13:43:33
2021-12-07 13:43:34,78.4,5.2,326612.82,83693.95,45,1280,59.8,21-12-07 13:43:34
2021-12-07 13:43:35,78.5,4.8,326612.82,83698.92,45,1280,73.4,21-12-07 13:43:35
2021-12-07 13:43:36,78.5,1.8,326612.82,83698.92,45,1280,73.4,21-12-07 13:43:36
2021-12-07 13:43:37,78.7,5.0,326612.82,83698.93,45,1280,73.4,21-12-07 13:43:37
2021-12-07 13:43:38,78.7,4.2,326612.82,83699.36,45,1280,73.4,21-12-07 13:43:38
2021-12-07 13:43:39,78.8,4.1,326612.82,83699.36,45,1729,73.4,21-12-07 13:43:39
2021-12-07 13:43:40,78.9,4.5,326612.82,83699.38,24,1729,86.2,21-12-07 13:43:40
2021-12-07 13:43:41,78.9,3.0,326612.82,83699.38,24,1729,86.2,21-12-07 13:43:41
2021-12-07 13:43:42,78.9,4.0,326612.82,83699.38,24,1729,86.2,21-12-07 13:43:42
2021-12-07 13:43:43,79.1,5.6,326612.82,83699.57,10,1729,86.2,21-12-07 13:43:43
2021-12-07 13:43:44,79.2,7.6,326612.82,83699.57,10,2226,86.2,21-12-07 13:43:44
2021-12-07 13:43:45,79.2,8.3,326612.82,83700.07,10,2226,100.2,21-12-07 13:43:45
2021-12-07 13:43:46,79.4,6.9,326612.82,83700.17,31,2226,100.2,21-12-07 13:43:46
2021-12-07 13:43:47,79.4,3.2,326612.82,83700.18,31,2226,100.2,21-12-07 13:43:47
2021-12-07 13:43:48,79.3,3.3,326612.82,83700.31,31,2226,100.2,21-12-07 13:43:48
2021-12-07 13:43:49,79.6,7.8,326612.82,83700.31,45,2784,100.2,21-12-07 13:43:49
2021-12-07 13:43:50,79.6,3.8,326612.82,83700.31,45,2784,109.2,21-12-07 13:43:50
2021-12-07 13:43:51,79.6,6.6,326612.83,83700.31,45,2784,109.2,21-12-07 13:43:51
2021-12-07 13:43:52,79.8,12.6,326612.98,83700.31,31,2784,109.2,21-12-07 13:43:52
2021-12-07 13:43:53,79.8,13.9,326612.98,83700.42,31,2784,109.2,21-12-07 13:43:53
2021-12-07 13:43:54,79.7,10.2,326612.98,83700.42,31,3413,109.2,21-12-07 13:43:54
2021-12-07 13:43:55,79.9,7.7,326612.98,83713.52,21,3413,112.2,21-12-07 13:43:55
2021-12-07 13:43:56,80.0,27.8,326612.98,83713.52,21,3413,112.2,21-12-07 13:43:56
2021-12-07 13:43:58,79.9,13.5,326612.98,83713.52,21,3413,112.2,21-12-07 13:43:58
2021-12-07 13:43:59,80.1,11.2,326612.98,83713.52,29,3413,112.2,21-12-07 13:43:59
2021-12-07 13:44:00,80.1,7.9,326612.98,83714.52,29,4103,137.0,21-12-07 13:44:00
2021-12-07 13:44:01,80.2,22.1,326612.98,83714.52,0,4103,137.0,21-12-07 13:44:01
2021-12-07 13:44:02,80.4,29.4,326613.18,83714.52,38,4103,137.0,21-12-07 13:44:02
2021-12-07 13:44:03,80.4,24.7,326613.18,83714.52,38,4103,137.0,21-12-07 13:44:03
2021-12-07 13:44:04,80.5,9.1,326613.18,83714.59,3,4846,137.0,21-12-07 13:44:04
2021-12-07 13:44:05,80.6,9.4,326613.18,83714.59,3,4846,140.6,21-12-07 13:44:05
2021-12-07 13:44:06,80.6,4.5,326613.18,83714.59,3,4846,140.6,21-12-07 13:44:06
