timestamp,ram_global_prct,cpu_global_prct,disk_io_read_mega_byte,disk_io_write_mega_byte,consumers_causality_1,messages_causality_1,publish_rate_causality_1
21-12-07 09:39:53,71.6,4.8,275223.38,80048.75,0,3579,107.4
21-12-07 09:39:54,71.9,6.2,275223.38,80051.15,73,3579,165.2
21-12-07 09:39:55,71.9,5.6,275223.38,80051.34,73,0,1.2
21-12-07 09:39:56,71.9,7.9,275223.38,80051.34,18,0,1.2
21-12-07 09:39:57,71.9,12.3,275223.38,80051.34,18,0,1.2
21-12-07 09:39:58,72.3,15.2,275223.61,80051.34,18,0,1.2
21-12-07 09:39:59,72.2,12.2,275223.61,80051.36,36,0,1.2
21-12-07 09:40:00,72.2,7.7,275223.61,80051.83,36,34,9.4
21-12-07 09:40:01,72.1,4.2,275223.61,80051.85,36,34,9.4
21-12-07 09:40:02,72.3,7.1,275223.61,80051.85,35,34,9.4
21-12-07 09:40:03,72.4,5.3,275223.61,80051.85,35,34,9.4
21-12-07 09:40:04,72.4,5.7,275223.64,80060.27,35,34,9.4
21-12-07 09:40:05,72.6,6.7,275223.64,80060.39,25,90,18.2
21-12-07 09:40:06,72.5,4.6,275223.64,80060.39,25,90,18.2
21-12-07 09:40:08,72.5,4.9,275223.64,80060.51,25,90,18.2
21-12-07 09:40:09,72.9,10.3,275223.64,80060.9,88,90,18.2
21-12-07 09:40:10,72.9,10.2,275223.64,80060.9,88,90,18.2
21-12-07 09:40:11,72.8,33.2,275223.64,80060.9,88,227,29.4
21-12-07 09:40:12,73.0,11.8,275223.64,80061.01,86,227,29.4
21-12-07 09:40:13,73.0,8.7,275223.69,80061.02,86,227,29.4
21-12-07 09:40:14,73.1,9.0,275223.69,80061.02,86,227,29.4
21-12-07 09:40:15,73.3,8.5,275223.69,80061.02,73,227,29.4
21-12-07 09:40:16,73.3,11.5,275223.69,80061.02,73,427,43.0
21-12-07 09:40:17,73.3,10.9,275223.69,80061.11,73,427,43.0
21-12-07 09:40:18,73.6,11.6,275223.69,80061.11,96,427,43.0
21-12-07 09:40:19,73.5,11.3,275223.7,80061.12,96,427,43.0
21-12-07 09:40:20,73.5,11.2,275223.7,80061.56,96,427,43.0
21-12-07 09:40:21,73.7,13.7,275223.7,80061.83,14,682,53.4
